municipality,okres,kraj,population,smart_people_zmean,smart_people_n_indicators
Zákamenné,Námestovo,Žilinský,5623,-0.3939,23
Zámutov,Vranov nad Topľou,Prešovský,3352,-0.4677,23
Zborov,Bardejov,Prešovský,3588,-0.2558,23
Zlaté Klasy,Dunajská Streda,Trnavský,3604,-0.1312,23
Zlaté Moravce,Zlaté Moravce,Nitriansky,11820,-0.2829,23
Zohor,Malacky,Bratislavský,3652,0.2389,23
Zvolen,Zvolen,Banskobystrický,39844,-0.2602,23
Žarnovica,Žarnovica,Banskobystrický,5729,-0.1342,23
Želiezovce,Levice,Nitriansky,6645,-0.2864,23
Žiar nad Hronom,Žiar nad Hronom,Banskobystrický,17032,-0.3262,23
Žilina,Žilina,Žilinský,81219,-0.0946,23
